Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/01/2021;31,8
Abbadia S.Salvatore ;02/01/2021;43,4
Abbadia S.Salvatore ;03/01/2021;8,8
Abbadia S.Salvatore ;04/01/2021;6
Abbadia S.Salvatore ;05/01/2021;16,6
Abbadia S.Salvatore ;06/01/2021;4,2
Abbadia S.Salvatore ;07/01/2021;0
Abbadia S.Salvatore ;08/01/2021;0
Abbadia S.Salvatore ;09/01/2021;4,2
Abbadia S.Salvatore ;10/01/2021;20,8
Abbadia S.Salvatore ;11/01/2021;0
Abbadia S.Salvatore ;12/01/2021;0
Abbadia S.Salvatore ;13/01/2021;0
Abbadia S.Salvatore ;14/01/2021;0
Abbadia S.Salvatore ;15/01/2021;0
Abbadia S.Salvatore ;16/01/2021;0
Abbadia S.Salvatore ;17/01/2021;0
Abbadia S.Salvatore ;18/01/2021;0
Abbadia S.Salvatore ;19/01/2021;0,2
Abbadia S.Salvatore ;20/01/2021;5,4
Abbadia S.Salvatore ;21/01/2021;14,9
Abbadia S.Salvatore ;22/01/2021;33,3
Abbadia S.Salvatore ;23/01/2021;3,2
Abbadia S.Salvatore ;24/01/2021;51,8
Abbadia S.Salvatore ;25/01/2021;15,4
Abbadia S.Salvatore ;26/01/2021;0
Abbadia S.Salvatore ;27/01/2021;0
Abbadia S.Salvatore ;28/01/2021;0
Abbadia S.Salvatore ;29/01/2021;0
Abbadia S.Salvatore ;30/01/2021;8,3
Abbadia S.Salvatore ;31/01/2021;3,2
Abbazia Trisulti ;01/01/2021;29,4
Abbazia Trisulti ;02/01/2021;59,2
Abbazia Trisulti ;03/01/2021;30,4
Abbazia Trisulti ;04/01/2021;19,2
Abbazia Trisulti ;05/01/2021;20
Abbazia Trisulti ;06/01/2021;15,2
Abbazia Trisulti ;07/01/2021;12,6
Abbazia Trisulti ;08/01/2021;3,6
Abbazia Trisulti ;09/01/2021;6,8
Abbazia Trisulti ;10/01/2021;2
Abbazia Trisulti ;11/01/2021;4,4
Abbazia Trisulti ;12/01/2021;0,6
Abbazia Trisulti ;13/01/2021;0
Abbazia Trisulti ;14/01/2021;0
Abbazia Trisulti ;15/01/2021;0,2
Abbazia Trisulti ;16/01/2021;0
Abbazia Trisulti ;17/01/2021;0
Abbazia Trisulti ;18/01/2021;1,6
Abbazia Trisulti ;19/01/2021;0
Abbazia Trisulti ;20/01/2021;2,2
Abbazia Trisulti ;21/01/2021;14,6
Abbazia Trisulti ;22/01/2021;53,8
Abbazia Trisulti ;23/01/2021;23,2
Abbazia Trisulti ;24/01/2021;34,4
Abbazia Trisulti ;25/01/2021;23,4
Abbazia Trisulti ;26/01/2021;0
Abbazia Trisulti ;27/01/2021;0
Abbazia Trisulti ;28/01/2021;0,4
Abbazia Trisulti ;29/01/2021;1,6
Abbazia Trisulti ;30/01/2021;0,2
Abbazia Trisulti ;31/01/2021;17,4
Acilia ;01/01/2021;8,2
Acilia ;02/01/2021;14
Acilia ;03/01/2021;27,6
Acilia ;04/01/2021;6
Acilia ;05/01/2021;12,6
Acilia ;06/01/2021;0
Acilia ;07/01/2021;1
Acilia ;08/01/2021;0
Acilia ;09/01/2021;3,2
Acilia ;10/01/2021;3,2
Acilia ;11/01/2021;0,2
Acilia ;12/01/2021;0
Acilia ;13/01/2021;0
Acilia ;14/01/2021;0
Acilia ;15/01/2021;0,4
Acilia ;16/01/2021;0
Acilia ;17/01/2021;0,6
Acilia ;18/01/2021;0
Acilia ;19/01/2021;0
Acilia ;20/01/2021;0,8
Acilia ;21/01/2021;0,2
Acilia ;22/01/2021;8,4
Acilia ;23/01/2021;2,6
Acilia ;24/01/2021;16,2
Acilia ;25/01/2021;2,2
Acilia ;26/01/2021;0
Acilia ;27/01/2021;0
Acilia ;28/01/2021;0
Acilia ;29/01/2021;0
Acilia ;30/01/2021;0,4
Acilia ;31/01/2021;7
Acqua Acetosa ;01/01/2021;5,4
Acqua Acetosa ;02/01/2021;23,4
Acqua Acetosa ;03/01/2021;40,2
Acqua Acetosa ;04/01/2021;5,6
Acqua Acetosa ;05/01/2021;22,2
Acqua Acetosa ;06/01/2021;0,2
Acqua Acetosa ;07/01/2021;0,2
Acqua Acetosa ;08/01/2021;0
Acqua Acetosa ;09/01/2021;3,2
Acqua Acetosa ;10/01/2021;5,8
Acqua Acetosa ;11/01/2021;0
Acqua Acetosa ;12/01/2021;0
Acqua Acetosa ;13/01/2021;0,2
Acqua Acetosa ;14/01/2021;0
Acqua Acetosa ;15/01/2021;0
Acqua Acetosa ;16/01/2021;0
Acqua Acetosa ;17/01/2021;1,2
Acqua Acetosa ;18/01/2021;0,2
Acqua Acetosa ;19/01/2021;0
Acqua Acetosa ;20/01/2021;0,4
Acqua Acetosa ;21/01/2021;0,2
Acqua Acetosa ;22/01/2021;17,8
Acqua Acetosa ;23/01/2021;13,6
Acqua Acetosa ;24/01/2021;29,6
Acqua Acetosa ;25/01/2021;7,4
Acqua Acetosa ;26/01/2021;0
Acqua Acetosa ;27/01/2021;0
Acqua Acetosa ;28/01/2021;0
Acqua Acetosa ;29/01/2021;0
Acqua Acetosa ;30/01/2021;0,2
Acqua Acetosa ;31/01/2021;14,8
Acquapendente ;01/01/2021;24,6
Acquapendente ;02/01/2021;28,8
Acquapendente ;03/01/2021;4,6
Acquapendente ;04/01/2021;5,2
Acquapendente ;05/01/2021;10,2
Acquapendente ;06/01/2021;1,4
Acquapendente ;07/01/2021;0,4
Acquapendente ;08/01/2021;0
Acquapendente ;09/01/2021;2,4
Acquapendente ;10/01/2021;16,2
Acquapendente ;11/01/2021;0
Acquapendente ;12/01/2021;0
Acquapendente ;13/01/2021;0
Acquapendente ;14/01/2021;0
Acquapendente ;15/01/2021;0
Acquapendente ;16/01/2021;0
Acquapendente ;17/01/2021;0
Acquapendente ;18/01/2021;0
Acquapendente ;19/01/2021;0
Acquapendente ;20/01/2021;0,8
Acquapendente ;21/01/2021;0
Acquapendente ;22/01/2021;30,6
Acquapendente ;23/01/2021;0,8
Acquapendente ;24/01/2021;48,2
Acquapendente ;25/01/2021;3
Acquapendente ;26/01/2021;0
