Stazione;Data;Dato pluviometrico giornaliero 0-24
Allumiere ;07/10/2021;1,8
Allumiere ;08/10/2021;0,2
Allumiere ;09/10/2021;0
Allumiere ;10/10/2021;0
Allumiere ;11/10/2021;0
Allumiere ;12/10/2021;0
Allumiere ;13/10/2021;0
Allumiere ;14/10/2021;0
Allumiere ;15/10/2021;0
Allumiere ;16/10/2021;0
Allumiere ;17/10/2021;0
Allumiere ;18/10/2021;0
Allumiere ;19/10/2021;0
Allumiere ;20/10/2021;0
Allumiere ;21/10/2021;0
Allumiere ;22/10/2021;0
Allumiere ;23/10/2021;0,8
Allumiere ;24/10/2021;0
Allumiere ;25/10/2021;0
Allumiere ;26/10/2021;2
Allumiere ;27/10/2021;0
Allumiere ;28/10/2021;0
Allumiere ;29/10/2021;0
Allumiere ;30/10/2021;0
Allumiere ;31/10/2021;0
Amaseno a Fossanova ;01/10/2021;0
Amaseno a Fossanova ;02/10/2021;0
Amaseno a Fossanova ;03/10/2021;0
Amaseno a Fossanova ;04/10/2021;0
Amaseno a Fossanova ;05/10/2021;37
Amaseno a Fossanova ;06/10/2021;17
Amaseno a Fossanova ;07/10/2021;0,2
Amaseno a Fossanova ;08/10/2021;0
Amaseno a Fossanova ;09/10/2021;18,8
Amaseno a Fossanova ;10/10/2021;6,8
Amaseno a Fossanova ;11/10/2021;0
Amaseno a Fossanova ;12/10/2021;0
Amaseno a Fossanova ;13/10/2021;8,1
Amaseno a Fossanova ;14/10/2021;0
Amaseno a Fossanova ;15/10/2021;0
Amaseno a Fossanova ;16/10/2021;0
Amaseno a Fossanova ;17/10/2021;0
Amaseno a Fossanova ;18/10/2021;0
Amaseno a Fossanova ;19/10/2021;0
Amaseno a Fossanova ;20/10/2021;0
Amaseno a Fossanova ;21/10/2021;0
Amaseno a Fossanova ;22/10/2021;0
Amaseno a Fossanova ;23/10/2021;0
Amaseno a Fossanova ;24/10/2021;0
Amaseno a Fossanova ;25/10/2021;0
Amaseno a Fossanova ;26/10/2021;0,6
Amaseno a Fossanova ;27/10/2021;0
Amaseno a Fossanova ;28/10/2021;0
Amaseno a Fossanova ;29/10/2021;0
Amaseno a Fossanova ;30/10/2021;0
Amaseno a Fossanova ;31/10/2021;2,6
Amatrice ;01/10/2021;0
Amatrice ;02/10/2021;1,2
Amatrice ;03/10/2021;0,2
Amatrice ;04/10/2021;0
Amatrice ;05/10/2021;6,9
Amatrice ;06/10/2021;21,2
Amatrice ;07/10/2021;45,6
Amatrice ;08/10/2021;15
Amatrice ;09/10/2021;0
Amatrice ;10/10/2021;0
Amatrice ;11/10/2021;7
Amatrice ;12/10/2021;0
Amatrice ;13/10/2021;1
Amatrice ;14/10/2021;0
Amatrice ;15/10/2021;0
Amatrice ;16/10/2021;0
Amatrice ;17/10/2021;0
Amatrice ;18/10/2021;0
Amatrice ;19/10/2021;0
Amatrice ;20/10/2021;0
Amatrice ;21/10/2021;0
Amatrice ;22/10/2021;0
Amatrice ;23/10/2021;1,2
Amatrice ;24/10/2021;0
Amatrice ;25/10/2021;0
Amatrice ;26/10/2021;0,2
Amatrice ;27/10/2021;0,2
Amatrice ;28/10/2021;0
Amatrice ;29/10/2021;0,2
Amatrice ;30/10/2021;0
Amatrice ;31/10/2021;0,2
Aniene a Lunghezza ;01/10/2021;0
Aniene a Lunghezza ;02/10/2021;0
Aniene a Lunghezza ;03/10/2021;0
Aniene a Lunghezza ;04/10/2021;0
Aniene a Lunghezza ;05/10/2021;9,8
Aniene a Lunghezza ;06/10/2021;5,8
Aniene a Lunghezza ;07/10/2021;0
Aniene a Lunghezza ;08/10/2021;0
Aniene a Lunghezza ;09/10/2021;3,4
Aniene a Lunghezza ;10/10/2021;0
Aniene a Lunghezza ;11/10/2021;2,2
Aniene a Lunghezza ;12/10/2021;0
Aniene a Lunghezza ;13/10/2021;0
Aniene a Lunghezza ;14/10/2021;0
Aniene a Lunghezza ;15/10/2021;0
Aniene a Lunghezza ;16/10/2021;0
Aniene a Lunghezza ;17/10/2021;0
Aniene a Lunghezza ;18/10/2021;0
Aniene a Lunghezza ;19/10/2021;0
Aniene a Lunghezza ;20/10/2021;0
Aniene a Lunghezza ;21/10/2021;0
Aniene a Lunghezza ;22/10/2021;0
Aniene a Lunghezza ;23/10/2021;5,2
Aniene a Lunghezza ;24/10/2021;0
Aniene a Lunghezza ;25/10/2021;0
Aniene a Lunghezza ;26/10/2021;4,6
Aniene a Lunghezza ;27/10/2021;0
Aniene a Lunghezza ;28/10/2021;0
Aniene a Lunghezza ;29/10/2021;0
Aniene a Lunghezza ;30/10/2021;0
Aniene a Lunghezza ;31/10/2021;0
