Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/12/2021;0,2
Abbadia S.Salvatore ;02/12/2021;29,3
Abbadia S.Salvatore ;03/12/2021;0
Abbadia S.Salvatore ;04/12/2021;0
Abbadia S.Salvatore ;05/12/2021;0
Abbadia S.Salvatore ;06/12/2021;0
Abbadia S.Salvatore ;07/12/2021;0
Abbadia S.Salvatore ;08/12/2021;45,4
Abbadia S.Salvatore ;09/12/2021;19
Abbadia S.Salvatore ;10/12/2021;24,4
Abbadia S.Salvatore ;11/12/2021;7,8
Abbadia S.Salvatore ;12/12/2021;0
Abbadia S.Salvatore ;13/12/2021;0
Abbadia S.Salvatore ;14/12/2021;0
Abbadia S.Salvatore ;15/12/2021;0
Abbadia S.Salvatore ;16/12/2021;0
Abbadia S.Salvatore ;17/12/2021;0
Abbadia S.Salvatore ;18/12/2021;0
Abbadia S.Salvatore ;19/12/2021;0
Abbadia S.Salvatore ;20/12/2021;0
Abbadia S.Salvatore ;21/12/2021;1
Abbadia S.Salvatore ;22/12/2021;2,2
Abbadia S.Salvatore ;23/12/2021;0,2
Abbadia S.Salvatore ;24/12/2021;13,4
Abbadia S.Salvatore ;25/12/2021;53,5
Abbadia S.Salvatore ;26/12/2021;26,2
Abbadia S.Salvatore ;27/12/2021;12
Abbadia S.Salvatore ;28/12/2021;2
Abbadia S.Salvatore ;29/12/2021;0,4
Abbadia S.Salvatore ;30/12/2021;0
Abbadia S.Salvatore ;31/12/2021;0
Abbazia Trisulti ;01/12/2021;12,6
Abbazia Trisulti ;02/12/2021;81,4
Abbazia Trisulti ;03/12/2021;0,2
Abbazia Trisulti ;04/12/2021;12,2
Abbazia Trisulti ;05/12/2021;8,6
Abbazia Trisulti ;06/12/2021;0
Abbazia Trisulti ;07/12/2021;0
Abbazia Trisulti ;08/12/2021;24,6
Abbazia Trisulti ;09/12/2021;10,4
Abbazia Trisulti ;10/12/2021;16,8
Abbazia Trisulti ;11/12/2021;11,2
Abbazia Trisulti ;12/12/2021;0
Abbazia Trisulti ;13/12/2021;0
Abbazia Trisulti ;14/12/2021;0
Abbazia Trisulti ;15/12/2021;0
Abbazia Trisulti ;16/12/2021;0
Abbazia Trisulti ;17/12/2021;0
Abbazia Trisulti ;18/12/2021;0
Abbazia Trisulti ;19/12/2021;0
Abbazia Trisulti ;20/12/2021;0
Abbazia Trisulti ;21/12/2021;0
Abbazia Trisulti ;22/12/2021;0
Abbazia Trisulti ;23/12/2021;1
Abbazia Trisulti ;24/12/2021;8
Abbazia Trisulti ;25/12/2021;17
Abbazia Trisulti ;26/12/2021;38,4
Abbazia Trisulti ;27/12/2021;4,4
Abbazia Trisulti ;28/12/2021;0,6
Abbazia Trisulti ;29/12/2021;0
Abbazia Trisulti ;30/12/2021;0
Abbazia Trisulti ;31/12/2021;0
Acilia ;01/12/2021;10,8
Acilia ;02/12/2021;32,4
Acilia ;03/12/2021;0
Acilia ;04/12/2021;0,6
Acilia ;05/12/2021;0,2
Acilia ;06/12/2021;0
Acilia ;07/12/2021;0
Acilia ;08/12/2021;10,6
Acilia ;09/12/2021;1,4
Acilia ;10/12/2021;14,8
Acilia ;11/12/2021;0,8
Acilia ;12/12/2021;0
Acilia ;13/12/2021;0
Acilia ;14/12/2021;0
Acilia ;15/12/2021;0
Acilia ;16/12/2021;0
Acilia ;17/12/2021;0
Acilia ;18/12/2021;0
Acilia ;19/12/2021;0
Acilia ;20/12/2021;0
Acilia ;21/12/2021;0
Acilia ;22/12/2021;3,6
Acilia ;23/12/2021;1,2
Acilia ;24/12/2021;1,2
Acilia ;25/12/2021;8,2
Acilia ;26/12/2021;4,6
Acilia ;27/12/2021;0,6
Acilia ;28/12/2021;5,4
Acilia ;29/12/2021;0
Acilia ;30/12/2021;0
Acilia ;31/12/2021;0
Acqua Acetosa ;01/12/2021;10
Acqua Acetosa ;02/12/2021;38
Acqua Acetosa ;03/12/2021;0
Acqua Acetosa ;04/12/2021;3,8
Acqua Acetosa ;05/12/2021;3,2
Acqua Acetosa ;06/12/2021;0
Acqua Acetosa ;07/12/2021;0
Acqua Acetosa ;08/12/2021;12,4
Acqua Acetosa ;09/12/2021;2,2
Acqua Acetosa ;10/12/2021;16,8
Acqua Acetosa ;11/12/2021;1
Acqua Acetosa ;12/12/2021;0
Acqua Acetosa ;13/12/2021;0
Acqua Acetosa ;14/12/2021;0
Acqua Acetosa ;15/12/2021;0
Acqua Acetosa ;16/12/2021;0
Acqua Acetosa ;17/12/2021;0
Acqua Acetosa ;18/12/2021;0
Acqua Acetosa ;19/12/2021;0
Acqua Acetosa ;20/12/2021;0
Acqua Acetosa ;21/12/2021;0
Acqua Acetosa ;22/12/2021;2,2
Acqua Acetosa ;23/12/2021;0,4
Acqua Acetosa ;24/12/2021;3,6
Acqua Acetosa ;25/12/2021;15,6
Acqua Acetosa ;26/12/2021;9,8
Acqua Acetosa ;27/12/2021;1,4
Acqua Acetosa ;28/12/2021;1,2
Acqua Acetosa ;29/12/2021;0
Acqua Acetosa ;30/12/2021;0
Acqua Acetosa ;31/12/2021;0,2
Acquapendente ;01/12/2021;-
Acquapendente ;02/12/2021;-
Acquapendente ;03/12/2021;-
Acquapendente ;04/12/2021;-
Acquapendente ;05/12/2021;-
Acquapendente ;06/12/2021;-
Acquapendente ;07/12/2021;-
Acquapendente ;08/12/2021;-
Acquapendente ;09/12/2021;-
Acquapendente ;10/12/2021;-
Acquapendente ;11/12/2021;-
Acquapendente ;12/12/2021;-
Acquapendente ;13/12/2021;-
Acquapendente ;14/12/2021;-
Acquapendente ;15/12/2021;-
Acquapendente ;16/12/2021;-
Acquapendente ;17/12/2021;-
Acquapendente ;18/12/2021;-
Acquapendente ;19/12/2021;-
Acquapendente ;20/12/2021;-
Acquapendente ;21/12/2021;-
Acquapendente ;22/12/2021;-
Acquapendente ;23/12/2021;-
Acquapendente ;24/12/2021;-
Acquapendente ;25/12/2021;-
Acquapendente ;26/12/2021;-
Acquapendente ;27/12/2021;-
Acquapendente ;28/12/2021;-
Acquapendente ;29/12/2021;-
Acquapendente ;30/12/2021;-
Acquapendente ;31/12/2021;-
Allumiere ;01/12/2021;4,5
Allumiere ;02/12/2021;3
Allumiere ;03/12/2021;0
Allumiere ;04/12/2021;0,2
Allumiere ;05/12/2021;0
Allumiere ;06/12/2021;0
Allumiere ;07/12/2021;0
Allumiere ;08/12/2021;17,9
Allumiere ;09/12/2021;4,8
Allumiere ;10/12/2021;23,4
Allumiere ;11/12/2021;1,6
Allumiere ;12/12/2021;0
Allumiere ;13/12/2021;0
Allumiere ;14/12/2021;0
Allumiere ;15/12/2021;0
Allumiere ;16/12/2021;0
Allumiere ;17/12/2021;0
Allumiere ;18/12/2021;0
Allumiere ;19/12/2021;0
Allumiere ;20/12/2021;0
Allumiere ;21/12/2021;0,4
Allumiere ;22/12/2021;2
Allumiere ;23/12/2021;0
Allumiere ;24/12/2021;2,8
Allumiere ;25/12/2021;35,5
Allumiere ;26/12/2021;21,7
Allumiere ;27/12/2021;3,4
Allumiere ;28/12/2021;4,2
Allumiere ;29/12/2021;0
Allumiere ;30/12/2021;0
Allumiere ;31/12/2021;0
Amaseno a Fossanova ;01/12/2021;8,2
Amaseno a Fossanova ;02/12/2021;32,3
Amaseno a Fossanova ;03/12/2021;0,4
Amaseno a Fossanova ;04/12/2021;7,4
Amaseno a Fossanova ;05/12/2021;4,8
Amaseno a Fossanova ;06/12/2021;1,4
Amaseno a Fossanova ;07/12/2021;0,2
Amaseno a Fossanova ;08/12/2021;12,9
Amaseno a Fossanova ;09/12/2021;10,4
Amaseno a Fossanova ;10/12/2021;21,5
Amaseno a Fossanova ;11/12/2021;4,2
Amaseno a Fossanova ;12/12/2021;0
Amaseno a Fossanova ;13/12/2021;0
Amaseno a Fossanova ;14/12/2021;0
Amaseno a Fossanova ;15/12/2021;0
Amaseno a Fossanova ;16/12/2021;0
Amaseno a Fossanova ;17/12/2021;0
Amaseno a Fossanova ;18/12/2021;0,2
Amaseno a Fossanova ;19/12/2021;0
Amaseno a Fossanova ;20/12/2021;0
Amaseno a Fossanova ;21/12/2021;0
