Stazione;Data;Dato pluviometrico giornaliero 0-24
Acquapendente ;17/03/2021;0,6
Acquapendente ;18/03/2021;0
Acquapendente ;19/03/2021;0
Acquapendente ;20/03/2021;0
Acquapendente ;21/03/2021;0
Acquapendente ;22/03/2021;0
Acquapendente ;23/03/2021;0
Acquapendente ;24/03/2021;0
Acquapendente ;25/03/2021;0
Acquapendente ;26/03/2021;0
Acquapendente ;27/03/2021;0
Acquapendente ;28/03/2021;0
Acquapendente ;29/03/2021;0
Acquapendente ;30/03/2021;0
Acquapendente ;31/03/2021;0
Allumiere ;01/03/2021;0
Allumiere ;02/03/2021;0
Allumiere ;03/03/2021;0
Allumiere ;04/03/2021;0
Allumiere ;05/03/2021;0
Allumiere ;06/03/2021;0,2
Allumiere ;07/03/2021;7
Allumiere ;08/03/2021;29,6
Allumiere ;09/03/2021;13,2
Allumiere ;10/03/2021;0
Allumiere ;11/03/2021;0
Allumiere ;12/03/2021;3
Allumiere ;13/03/2021;0
Allumiere ;14/03/2021;0
Allumiere ;15/03/2021;0
Allumiere ;16/03/2021;0
Allumiere ;17/03/2021;3
Allumiere ;18/03/2021;0
Allumiere ;19/03/2021;0
Allumiere ;20/03/2021;0
Allumiere ;21/03/2021;0
Allumiere ;22/03/2021;0
Allumiere ;23/03/2021;0
Allumiere ;24/03/2021;0
Allumiere ;25/03/2021;0
Allumiere ;26/03/2021;0
Allumiere ;27/03/2021;0
Allumiere ;28/03/2021;0
Allumiere ;29/03/2021;0
Allumiere ;30/03/2021;0
Allumiere ;31/03/2021;0
Amaseno a Fossanova ;01/03/2021;0
Amaseno a Fossanova ;02/03/2021;0
Amaseno a Fossanova ;03/03/2021;0
Amaseno a Fossanova ;04/03/2021;0
Amaseno a Fossanova ;05/03/2021;0
Amaseno a Fossanova ;06/03/2021;0,2
Amaseno a Fossanova ;07/03/2021;4,2
Amaseno a Fossanova ;08/03/2021;36,6
Amaseno a Fossanova ;09/03/2021;64,5
Amaseno a Fossanova ;10/03/2021;0,2
Amaseno a Fossanova ;11/03/2021;0,2
Amaseno a Fossanova ;12/03/2021;0,2
Amaseno a Fossanova ;13/03/2021;2,8
Amaseno a Fossanova ;14/03/2021;1,6
Amaseno a Fossanova ;15/03/2021;0,6
Amaseno a Fossanova ;16/03/2021;1
Amaseno a Fossanova ;17/03/2021;6,6
Amaseno a Fossanova ;18/03/2021;0
Amaseno a Fossanova ;19/03/2021;0
Amaseno a Fossanova ;20/03/2021;0
Amaseno a Fossanova ;21/03/2021;0
Amaseno a Fossanova ;22/03/2021;0
Amaseno a Fossanova ;23/03/2021;0
Amaseno a Fossanova ;24/03/2021;0
Amaseno a Fossanova ;25/03/2021;0
Amaseno a Fossanova ;26/03/2021;0
Amaseno a Fossanova ;27/03/2021;0
Amaseno a Fossanova ;28/03/2021;0
Amaseno a Fossanova ;29/03/2021;0
Amaseno a Fossanova ;30/03/2021;0
Amaseno a Fossanova ;31/03/2021;0
Amatrice ;01/03/2021;0
Amatrice ;02/03/2021;0
Amatrice ;03/03/2021;0,2
Amatrice ;04/03/2021;0
Amatrice ;05/03/2021;0
Amatrice ;06/03/2021;0
Amatrice ;07/03/2021;2,4
Amatrice ;08/03/2021;7,2
Amatrice ;09/03/2021;20,8
Amatrice ;10/03/2021;4,2
Amatrice ;11/03/2021;0
Amatrice ;12/03/2021;0,2
Amatrice ;13/03/2021;7,2
Amatrice ;14/03/2021;0,2
Amatrice ;15/03/2021;2,4
Amatrice ;16/03/2021;0
Amatrice ;17/03/2021;0
Amatrice ;18/03/2021;0,6
Amatrice ;19/03/2021;2
Amatrice ;20/03/2021;0,2
Amatrice ;21/03/2021;0
Amatrice ;22/03/2021;0,2
Amatrice ;23/03/2021;0
Amatrice ;24/03/2021;0
Amatrice ;25/03/2021;0
Amatrice ;26/03/2021;0
Amatrice ;27/03/2021;0
Amatrice ;28/03/2021;0
Amatrice ;29/03/2021;0
Amatrice ;30/03/2021;0
Amatrice ;31/03/2021;0
Aniene a Lunghezza ;01/03/2021;0
Aniene a Lunghezza ;02/03/2021;0
Aniene a Lunghezza ;03/03/2021;0
Aniene a Lunghezza ;04/03/2021;0
Aniene a Lunghezza ;05/03/2021;0
Aniene a Lunghezza ;06/03/2021;5
Aniene a Lunghezza ;07/03/2021;2,4
Aniene a Lunghezza ;08/03/2021;35,6
Aniene a Lunghezza ;09/03/2021;43,4
Aniene a Lunghezza ;10/03/2021;0
Aniene a Lunghezza ;11/03/2021;0
Aniene a Lunghezza ;12/03/2021;0
Aniene a Lunghezza ;13/03/2021;0,2
Aniene a Lunghezza ;14/03/2021;0,6
Aniene a Lunghezza ;15/03/2021;0,2
Aniene a Lunghezza ;16/03/2021;0
Aniene a Lunghezza ;17/03/2021;0,2
Aniene a Lunghezza ;18/03/2021;0
Aniene a Lunghezza ;19/03/2021;0,2
Aniene a Lunghezza ;20/03/2021;0
Aniene a Lunghezza ;21/03/2021;0
Aniene a Lunghezza ;22/03/2021;0
Aniene a Lunghezza ;23/03/2021;0
Aniene a Lunghezza ;24/03/2021;0
Aniene a Lunghezza ;25/03/2021;0
Aniene a Lunghezza ;26/03/2021;0
Aniene a Lunghezza ;27/03/2021;0
Aniene a Lunghezza ;28/03/2021;0
Aniene a Lunghezza ;29/03/2021;0
Aniene a Lunghezza ;30/03/2021;0
Aniene a Lunghezza ;31/03/2021;0
Aniene a Marano Equo ;01/03/2021;0
Aniene a Marano Equo ;02/03/2021;0
Aniene a Marano Equo ;03/03/2021;0
Aniene a Marano Equo ;04/03/2021;0
Aniene a Marano Equo ;05/03/2021;0
Aniene a Marano Equo ;06/03/2021;7,4
Aniene a Marano Equo ;07/03/2021;4,2
Aniene a Marano Equo ;08/03/2021;29,6
Aniene a Marano Equo ;09/03/2021;40,2
Aniene a Marano Equo ;10/03/2021;0
Aniene a Marano Equo ;11/03/2021;0
Aniene a Marano Equo ;12/03/2021;1,4
Aniene a Marano Equo ;13/03/2021;0,2
Aniene a Marano Equo ;14/03/2021;1
Aniene a Marano Equo ;15/03/2021;0
Aniene a Marano Equo ;16/03/2021;0,2
Aniene a Marano Equo ;17/03/2021;0
Aniene a Marano Equo ;18/03/2021;1,2
Aniene a Marano Equo ;19/03/2021;0,2
Aniene a Marano Equo ;20/03/2021;0
Aniene a Marano Equo ;21/03/2021;0
Aniene a Marano Equo ;22/03/2021;0
Aniene a Marano Equo ;23/03/2021;0
Aniene a Marano Equo ;24/03/2021;0
Aniene a Marano Equo ;25/03/2021;0
Aniene a Marano Equo ;26/03/2021;0
Aniene a Marano Equo ;27/03/2021;0
Aniene a Marano Equo ;28/03/2021;0
Aniene a Marano Equo ;29/03/2021;0
Aniene a Marano Equo ;30/03/2021;0
Aniene a Marano Equo ;31/03/2021;0
Aniene a Ponte Salario ;01/03/2021;0
Aniene a Ponte Salario ;02/03/2021;0
Aniene a Ponte Salario ;03/03/2021;0
Aniene a Ponte Salario ;04/03/2021;0
Aniene a Ponte Salario ;05/03/2021;0
Aniene a Ponte Salario ;06/03/2021;13,1
Aniene a Ponte Salario ;07/03/2021;14,4
Aniene a Ponte Salario ;08/03/2021;39
Aniene a Ponte Salario ;09/03/2021;39,6
Aniene a Ponte Salario ;10/03/2021;0,2
Aniene a Ponte Salario ;11/03/2021;0
Aniene a Ponte Salario ;12/03/2021;0
Aniene a Ponte Salario ;13/03/2021;0,8
Aniene a Ponte Salario ;14/03/2021;0
Aniene a Ponte Salario ;15/03/2021;0
Aniene a Ponte Salario ;16/03/2021;0
Aniene a Ponte Salario ;17/03/2021;0
Aniene a Ponte Salario ;18/03/2021;0
