Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/04/2021;0
Abbadia S.Salvatore ;02/04/2021;0
Abbadia S.Salvatore ;03/04/2021;6
Abbadia S.Salvatore ;04/04/2021;0
Abbadia S.Salvatore ;05/04/2021;0
Abbadia S.Salvatore ;06/04/2021;1,6
Abbadia S.Salvatore ;07/04/2021;0
Abbadia S.Salvatore ;08/04/2021;0
Abbadia S.Salvatore ;09/04/2021;0
Abbadia S.Salvatore ;10/04/2021;4,6
Abbadia S.Salvatore ;11/04/2021;14,8
Abbadia S.Salvatore ;12/04/2021;36,7
Abbadia S.Salvatore ;13/04/2021;0,2
Abbadia S.Salvatore ;14/04/2021;0
Abbadia S.Salvatore ;15/04/2021;0,8
Abbadia S.Salvatore ;16/04/2021;0
Abbadia S.Salvatore ;17/04/2021;0
Abbadia S.Salvatore ;18/04/2021;2,4
Abbadia S.Salvatore ;19/04/2021;0
Abbadia S.Salvatore ;20/04/2021;1
Abbadia S.Salvatore ;21/04/2021;1
Abbadia S.Salvatore ;22/04/2021;0
Abbadia S.Salvatore ;23/04/2021;0
Abbadia S.Salvatore ;24/04/2021;0
Abbadia S.Salvatore ;25/04/2021;0
Abbadia S.Salvatore ;26/04/2021;0
Abbadia S.Salvatore ;27/04/2021;13,2
Abbadia S.Salvatore ;28/04/2021;28,6
Abbadia S.Salvatore ;29/04/2021;7,2
Abbadia S.Salvatore ;30/04/2021;0
Abbazia Trisulti ;01/04/2021;0
Abbazia Trisulti ;02/04/2021;0
Abbazia Trisulti ;03/04/2021;2
Abbazia Trisulti ;04/04/2021;1
Abbazia Trisulti ;05/04/2021;0
Abbazia Trisulti ;06/04/2021;4,8
Abbazia Trisulti ;07/04/2021;1,8
Abbazia Trisulti ;08/04/2021;0
Abbazia Trisulti ;09/04/2021;0
Abbazia Trisulti ;10/04/2021;0,8
Abbazia Trisulti ;11/04/2021;0,8
Abbazia Trisulti ;12/04/2021;29
Abbazia Trisulti ;13/04/2021;5,8
Abbazia Trisulti ;14/04/2021;3
Abbazia Trisulti ;15/04/2021;1
Abbazia Trisulti ;16/04/2021;0
Abbazia Trisulti ;17/04/2021;0
Abbazia Trisulti ;18/04/2021;7,4
Abbazia Trisulti ;19/04/2021;10,6
Abbazia Trisulti ;20/04/2021;7,2
Abbazia Trisulti ;21/04/2021;0,2
Abbazia Trisulti ;22/04/2021;11,4
Abbazia Trisulti ;23/04/2021;0,2
Abbazia Trisulti ;24/04/2021;0
Abbazia Trisulti ;25/04/2021;0
Abbazia Trisulti ;26/04/2021;0
Abbazia Trisulti ;27/04/2021;0,4
Abbazia Trisulti ;28/04/2021;3,8
Abbazia Trisulti ;29/04/2021;0,4
Abbazia Trisulti ;30/04/2021;0
Acilia ;01/04/2021;0,2
Acilia ;02/04/2021;0,2
Acilia ;03/04/2021;4,6
Acilia ;04/04/2021;0
Acilia ;05/04/2021;0
Acilia ;06/04/2021;1,4
Acilia ;07/04/2021;0,2
