Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/02/2020;2,8
Abbadia S.Salvatore ;02/02/2020;0,2
Abbadia S.Salvatore ;03/02/2020;0
Abbadia S.Salvatore ;04/02/2020;4,4
Abbadia S.Salvatore ;05/02/2020;0
Abbadia S.Salvatore ;06/02/2020;0
Abbadia S.Salvatore ;07/02/2020;0
Abbadia S.Salvatore ;08/02/2020;0
Abbadia S.Salvatore ;09/02/2020;2,8
Abbadia S.Salvatore ;10/02/2020;0,8
Abbadia S.Salvatore ;11/02/2020;0
Abbadia S.Salvatore ;12/02/2020;0
Abbadia S.Salvatore ;13/02/2020;0
Abbadia S.Salvatore ;14/02/2020;0,6
Abbadia S.Salvatore ;15/02/2020;0
Abbadia S.Salvatore ;16/02/2020;0
Abbadia S.Salvatore ;17/02/2020;0
Abbadia S.Salvatore ;18/02/2020;0
Abbadia S.Salvatore ;19/02/2020;1,8
Abbadia S.Salvatore ;20/02/2020;0
Abbadia S.Salvatore ;21/02/2020;0
Abbadia S.Salvatore ;22/02/2020;0
Abbadia S.Salvatore ;23/02/2020;0
Abbadia S.Salvatore ;24/02/2020;0
Abbadia S.Salvatore ;25/02/2020;0
Abbadia S.Salvatore ;26/02/2020;4,2
Abbadia S.Salvatore ;27/02/2020;1,2
Abbadia S.Salvatore ;28/02/2020;2
Abbadia S.Salvatore ;29/02/2020;0
Abbazia Trisulti ;01/02/2020;2
Abbazia Trisulti ;02/02/2020;0
Abbazia Trisulti ;03/02/2020;0
Abbazia Trisulti ;04/02/2020;1
Abbazia Trisulti ;05/02/2020;0
Abbazia Trisulti ;06/02/2020;0
Abbazia Trisulti ;07/02/2020;0
Abbazia Trisulti ;08/02/2020;0
Abbazia Trisulti ;09/02/2020;0,2
Abbazia Trisulti ;10/02/2020;8,2
Abbazia Trisulti ;11/02/2020;0
Abbazia Trisulti ;12/02/2020;0
Abbazia Trisulti ;13/02/2020;0
Abbazia Trisulti ;14/02/2020;8
Abbazia Trisulti ;15/02/2020;0
Abbazia Trisulti ;16/02/2020;0
Abbazia Trisulti ;17/02/2020;0
Abbazia Trisulti ;18/02/2020;0
Abbazia Trisulti ;19/02/2020;7,2
Abbazia Trisulti ;20/02/2020;0
Abbazia Trisulti ;21/02/2020;0
Abbazia Trisulti ;22/02/2020;0
Abbazia Trisulti ;23/02/2020;0
Abbazia Trisulti ;24/02/2020;0
Abbazia Trisulti ;25/02/2020;0
Abbazia Trisulti ;26/02/2020;3
Abbazia Trisulti ;27/02/2020;5,2
Abbazia Trisulti ;28/02/2020;6,2
Abbazia Trisulti ;29/02/2020;0
Acilia ;01/02/2020;0,2
Acilia ;02/02/2020;0,2
Acilia ;03/02/2020;0
Acilia ;04/02/2020;0
Acilia ;05/02/2020;0
Acilia ;06/02/2020;0
Acilia ;07/02/2020;0
Acilia ;08/02/2020;0
Acilia ;09/02/2020;0,8
Acilia ;10/02/2020;0,6
Acilia ;11/02/2020;0
Acilia ;12/02/2020;0,2
Acilia ;13/02/2020;0
Acilia ;14/02/2020;0,6
Acilia ;15/02/2020;0
Acilia ;16/02/2020;0
Acilia ;17/02/2020;0,4
Acilia ;18/02/2020;0
Acilia ;19/02/2020;0,4
Acilia ;20/02/2020;0,2
Acilia ;21/02/2020;0
Acilia ;22/02/2020;0
Acilia ;23/02/2020;0,2
Acilia ;24/02/2020;0
Acilia ;25/02/2020;0
Acilia ;26/02/2020;2
Acilia ;27/02/2020;0,8
Acilia ;28/02/2020;0
Acilia ;29/02/2020;0
Acqua Acetosa ;01/02/2020;1,6
Acqua Acetosa ;02/02/2020;0
Acqua Acetosa ;03/02/2020;0
Acqua Acetosa ;04/02/2020;0
Acqua Acetosa ;05/02/2020;0
Acqua Acetosa ;06/02/2020;0
Acqua Acetosa ;07/02/2020;0
Acqua Acetosa ;08/02/2020;0
Acqua Acetosa ;09/02/2020;1,2
Acqua Acetosa ;10/02/2020;1,6
Acqua Acetosa ;11/02/2020;0
Acqua Acetosa ;12/02/2020;0
Acqua Acetosa ;13/02/2020;0
Acqua Acetosa ;14/02/2020;3,6
Acqua Acetosa ;15/02/2020;0
Acqua Acetosa ;16/02/2020;0
Acqua Acetosa ;17/02/2020;0
Acqua Acetosa ;18/02/2020;0
Acqua Acetosa ;19/02/2020;1,6
Acqua Acetosa ;20/02/2020;0,2
Acqua Acetosa ;21/02/2020;0
Acqua Acetosa ;22/02/2020;0
Acqua Acetosa ;23/02/2020;0
Acqua Acetosa ;24/02/2020;0
Acqua Acetosa ;25/02/2020;0
Acqua Acetosa ;26/02/2020;2,8
Acqua Acetosa ;27/02/2020;3
Acqua Acetosa ;28/02/2020;0
Acqua Acetosa ;29/02/2020;0
Acquapendente ;01/02/2020;0,4
Acquapendente ;02/02/2020;0,2
Acquapendente ;03/02/2020;0,2
Acquapendente ;04/02/2020;0,4
Acquapendente ;05/02/2020;0
Acquapendente ;06/02/2020;0
Acquapendente ;07/02/2020;0
Acquapendente ;08/02/2020;0
Acquapendente ;09/02/2020;2
Acquapendente ;10/02/2020;3,4
Acquapendente ;11/02/2020;0
Acquapendente ;12/02/2020;0
Acquapendente ;13/02/2020;0
Acquapendente ;14/02/2020;0,2
Acquapendente ;15/02/2020;0
Acquapendente ;16/02/2020;0
Acquapendente ;17/02/2020;0
Acquapendente ;18/02/2020;0
Acquapendente ;19/02/2020;0,8
Acquapendente ;20/02/2020;0
Acquapendente ;21/02/2020;0
Acquapendente ;22/02/2020;0
Acquapendente ;23/02/2020;0
Acquapendente ;24/02/2020;0
Acquapendente ;25/02/2020;0
Acquapendente ;26/02/2020;0
Acquapendente ;27/02/2020;2,8
Acquapendente ;28/02/2020;0,2
Acquapendente ;29/02/2020;0
Allumiere ;01/02/2020;0,4
Allumiere ;02/02/2020;0
Allumiere ;03/02/2020;0
Allumiere ;04/02/2020;0
Allumiere ;05/02/2020;0
Allumiere ;06/02/2020;0
Allumiere ;07/02/2020;0
Allumiere ;08/02/2020;0
Allumiere ;09/02/2020;2,2
Allumiere ;10/02/2020;0,2
Allumiere ;11/02/2020;0
Allumiere ;12/02/2020;0
Allumiere ;13/02/2020;0
Allumiere ;14/02/2020;1
Allumiere ;15/02/2020;0
Allumiere ;16/02/2020;0
Allumiere ;17/02/2020;0
Allumiere ;18/02/2020;0
Allumiere ;19/02/2020;0,2
Allumiere ;20/02/2020;0
Allumiere ;21/02/2020;0
Allumiere ;22/02/2020;0
Allumiere ;23/02/2020;0
Allumiere ;24/02/2020;0
Allumiere ;25/02/2020;0
Allumiere ;26/02/2020;2
Allumiere ;27/02/2020;1,2
Allumiere ;28/02/2020;0,2
Allumiere ;29/02/2020;0
Amaseno a Fossanova ;01/02/2020;0,2
Amaseno a Fossanova ;02/02/2020;0,2
Amaseno a Fossanova ;03/02/2020;0
Amaseno a Fossanova ;04/02/2020;0
Amaseno a Fossanova ;05/02/2020;0
Amaseno a Fossanova ;06/02/2020;0
Amaseno a Fossanova ;07/02/2020;0
Amaseno a Fossanova ;08/02/2020;0
Amaseno a Fossanova ;09/02/2020;0
Amaseno a Fossanova ;10/02/2020;4,6
Amaseno a Fossanova ;11/02/2020;0,2
Amaseno a Fossanova ;12/02/2020;0
Amaseno a Fossanova ;13/02/2020;0
Amaseno a Fossanova ;14/02/2020;4,4
Amaseno a Fossanova ;15/02/2020;0
Amaseno a Fossanova ;16/02/2020;0
Amaseno a Fossanova ;17/02/2020;0
Amaseno a Fossanova ;18/02/2020;0,2
Amaseno a Fossanova ;19/02/2020;0,2
Amaseno a Fossanova ;20/02/2020;0
Amaseno a Fossanova ;21/02/2020;0
Amaseno a Fossanova ;22/02/2020;0,2
Amaseno a Fossanova ;23/02/2020;0
Amaseno a Fossanova ;24/02/2020;0
Amaseno a Fossanova ;25/02/2020;0
Amaseno a Fossanova ;26/02/2020;0,8
Amaseno a Fossanova ;27/02/2020;4
Amaseno a Fossanova ;28/02/2020;5,6
Amaseno a Fossanova ;29/02/2020;0
Amatrice ;01/02/2020;0,2
Amatrice ;02/02/2020;0,4
Amatrice ;03/02/2020;0
Amatrice ;04/02/2020;1,6
Amatrice ;05/02/2020;7,4
Amatrice ;06/02/2020;0,4
Amatrice ;07/02/2020;0
Amatrice ;08/02/2020;0
Amatrice ;09/02/2020;0
Amatrice ;10/02/2020;0,4
Amatrice ;11/02/2020;0
Amatrice ;12/02/2020;0
Amatrice ;13/02/2020;0
Amatrice ;14/02/2020;6,6
Amatrice ;15/02/2020;0
Amatrice ;16/02/2020;0
Amatrice ;17/02/2020;0
Amatrice ;18/02/2020;0
Amatrice ;19/02/2020;2,6
Amatrice ;20/02/2020;0,2
Amatrice ;21/02/2020;0
Amatrice ;22/02/2020;0
Amatrice ;23/02/2020;0
Amatrice ;24/02/2020;0
Amatrice ;25/02/2020;0
Amatrice ;26/02/2020;1,2
Amatrice ;27/02/2020;4
Amatrice ;28/02/2020;4,2
Amatrice ;29/02/2020;0
Aniene a Lunghezza ;01/02/2020;0,8
Aniene a Lunghezza ;02/02/2020;0,2
Aniene a Lunghezza ;03/02/2020;0
Aniene a Lunghezza ;04/02/2020;0,2
Aniene a Lunghezza ;05/02/2020;0
Aniene a Lunghezza ;06/02/2020;0
Aniene a Lunghezza ;07/02/2020;0
Aniene a Lunghezza ;08/02/2020;0
Aniene a Lunghezza ;09/02/2020;0,6
Aniene a Lunghezza ;10/02/2020;1,6
Aniene a Lunghezza ;11/02/2020;0
Aniene a Lunghezza ;12/02/2020;0,2
Aniene a Lunghezza ;13/02/2020;0
Aniene a Lunghezza ;14/02/2020;5,8
Aniene a Lunghezza ;15/02/2020;0
Aniene a Lunghezza ;16/02/2020;0
Aniene a Lunghezza ;17/02/2020;0
Aniene a Lunghezza ;18/02/2020;0
Aniene a Lunghezza ;19/02/2020;1,8
Aniene a Lunghezza ;20/02/2020;0,2
Aniene a Lunghezza ;21/02/2020;0
Aniene a Lunghezza ;22/02/2020;0
Aniene a Lunghezza ;23/02/2020;0
Aniene a Lunghezza ;24/02/2020;0
Aniene a Lunghezza ;25/02/2020;0
Aniene a Lunghezza ;26/02/2020;2
Aniene a Lunghezza ;27/02/2020;1,8
Aniene a Lunghezza ;28/02/2020;0,4
Aniene a Lunghezza ;29/02/2020;0
Aniene a Marano Equo ;01/02/2020;1
Aniene a Marano Equo ;02/02/2020;0,8
Aniene a Marano Equo ;03/02/2020;0
Aniene a Marano Equo ;04/02/2020;0,8
Aniene a Marano Equo ;05/02/2020;0,8
Aniene a Marano Equo ;06/02/2020;0
Aniene a Marano Equo ;07/02/2020;0
Aniene a Marano Equo ;08/02/2020;0
Aniene a Marano Equo ;09/02/2020;0,4
Aniene a Marano Equo ;10/02/2020;4,6
Aniene a Marano Equo ;11/02/2020;0,2
Aniene a Marano Equo ;12/02/2020;0
Aniene a Marano Equo ;13/02/2020;0,2
Aniene a Marano Equo ;14/02/2020;8,5
Aniene a Marano Equo ;15/02/2020;0
Aniene a Marano Equo ;16/02/2020;0
Aniene a Marano Equo ;17/02/2020;0
Aniene a Marano Equo ;18/02/2020;0,2
Aniene a Marano Equo ;19/02/2020;7,8
Aniene a Marano Equo ;20/02/2020;0,2
Aniene a Marano Equo ;21/02/2020;0
Aniene a Marano Equo ;22/02/2020;0
Aniene a Marano Equo ;23/02/2020;0
Aniene a Marano Equo ;24/02/2020;0
Aniene a Marano Equo ;25/02/2020;0
Aniene a Marano Equo ;26/02/2020;6,6
Aniene a Marano Equo ;27/02/2020;11
Aniene a Marano Equo ;28/02/2020;8,6
Aniene a Marano Equo ;29/02/2020;0
Aniene a Ponte Salario ;01/02/2020;2
Aniene a Ponte Salario ;02/02/2020;0
Aniene a Ponte Salario ;03/02/2020;0
Aniene a Ponte Salario ;04/02/2020;0
Aniene a Ponte Salario ;05/02/2020;0
Aniene a Ponte Salario ;06/02/2020;0
Aniene a Ponte Salario ;07/02/2020;0
Aniene a Ponte Salario ;08/02/2020;0
Aniene a Ponte Salario ;09/02/2020;1
Aniene a Ponte Salario ;10/02/2020;1,8
Aniene a Ponte Salario ;11/02/2020;0
Aniene a Ponte Salario ;12/02/2020;0
Aniene a Ponte Salario ;13/02/2020;0
Aniene a Ponte Salario ;14/02/2020;2,4
Aniene a Ponte Salario ;15/02/2020;0
Aniene a Ponte Salario ;16/02/2020;0
Aniene a Ponte Salario ;17/02/2020;0
Aniene a Ponte Salario ;18/02/2020;0
Aniene a Ponte Salario ;19/02/2020;2,4
Aniene a Ponte Salario ;20/02/2020;0,2
Aniene a Ponte Salario ;21/02/2020;0
Aniene a Ponte Salario ;22/02/2020;0
Aniene a Ponte Salario ;23/02/2020;0
Aniene a Ponte Salario ;24/02/2020;0
Aniene a Ponte Salario ;25/02/2020;0
Aniene a Ponte Salario ;26/02/2020;3
Aniene a Ponte Salario ;27/02/2020;2,4
Aniene a Ponte Salario ;28/02/2020;0,2
Aniene a Ponte Salario ;29/02/2020;0
Aniene a Subiaco ;01/02/2020;0,6
Aniene a Subiaco ;02/02/2020;0,6
Aniene a Subiaco ;03/02/2020;0
Aniene a Subiaco ;04/02/2020;0,8
Aniene a Subiaco ;05/02/2020;0,8
Aniene a Subiaco ;06/02/2020;0
Aniene a Subiaco ;07/02/2020;0
Aniene a Subiaco ;08/02/2020;0
Aniene a Subiaco ;09/02/2020;0,4
Aniene a Subiaco ;10/02/2020;6,2
Aniene a Subiaco ;11/02/2020;0
Aniene a Subiaco ;12/02/2020;0,2
Aniene a Subiaco ;13/02/2020;0
Aniene a Subiaco ;14/02/2020;7,2
Aniene a Subiaco ;15/02/2020;0
Aniene a Subiaco ;16/02/2020;0,2
Aniene a Subiaco ;17/02/2020;0
Aniene a Subiaco ;18/02/2020;0
Aniene a Subiaco ;19/02/2020;14,1
Aniene a Subiaco ;20/02/2020;0,2
Aniene a Subiaco ;21/02/2020;0
Aniene a Subiaco ;22/02/2020;0
Aniene a Subiaco ;23/02/2020;0
Aniene a Subiaco ;24/02/2020;0
Aniene a Subiaco ;25/02/2020;0
Aniene a Subiaco ;26/02/2020;4,2
Aniene a Subiaco ;27/02/2020;7,2
Aniene a Subiaco ;28/02/2020;7,4
Aniene a Subiaco ;29/02/2020;0
Anzio ;01/02/2020;1,2
Anzio ;02/02/2020;0
Anzio ;03/02/2020;0
Anzio ;04/02/2020;0,2
Anzio ;05/02/2020;0
Anzio ;06/02/2020;0
Anzio ;07/02/2020;0
Anzio ;08/02/2020;0
Anzio ;09/02/2020;4,6
Anzio ;10/02/2020;0,4
Anzio ;11/02/2020;0
Anzio ;12/02/2020;0
Anzio ;13/02/2020;0
Anzio ;14/02/2020;0
Anzio ;15/02/2020;0
Anzio ;16/02/2020;0
Anzio ;17/02/2020;0
Anzio ;18/02/2020;0
Anzio ;19/02/2020;0,2
Anzio ;20/02/2020;0
Anzio ;21/02/2020;0
Anzio ;22/02/2020;0
Anzio ;23/02/2020;0
Anzio ;24/02/2020;0
Anzio ;25/02/2020;0
Anzio ;26/02/2020;5
Anzio ;27/02/2020;0,2
